SimID,L,Haploid,monoecious,omega,complete,MeanPhen,GenVar,SummedGenVar
183,1,TRUE,TRUE,0,1,1.29969357682645,0.55196588750912,NA
184,1,TRUE,TRUE,0,1,1.25091798806377,1.43006837921692,NA
185,1,TRUE,TRUE,0,1,1.31411003228938,2.4608173634976,NA
186,1,TRUE,TRUE,0,1,1.53927249822084,0.818144935953221,NA
187,1,TRUE,TRUE,0,1,1.31413210845576,1.32073508113315,NA
188,1,TRUE,TRUE,0,1,1.20575831594246,0.591704621254832,NA
189,1,TRUE,TRUE,0,1,1.0832167193864,1.05568702547459,NA
190,1,TRUE,TRUE,0,1,1.26129808230062,0.627256954440752,NA
191,1,TRUE,TRUE,0,1,1.55172213109721,1.23109813509956,NA
192,1,TRUE,TRUE,0,1,1.2875342391265,1.56325137283626,NA
193,1,TRUE,TRUE,0,1,1.38688225013277,2.20608821973693,NA
194,1,TRUE,TRUE,0,1,1.31297055079548,1.69756962612044,NA
195,1,TRUE,TRUE,0,1,1.22138666869575,0.772781275546511,NA
196,1,TRUE,TRUE,0,1,1.48474545990795,1.61231532650252,NA
197,1,TRUE,TRUE,0,1,1.44654164799864,0.684772309150993,NA
198,1,TRUE,TRUE,0,1,1.24988249265134,1.4646020158718,NA
199,1,TRUE,TRUE,0,1,1.37755666000158,1.2329590002433,NA
200,1,TRUE,TRUE,0,1,1.38332122736958,1.18315683489418,NA
201,1,TRUE,TRUE,0,1,1.11707492611104,2.67821163346227,NA
202,1,TRUE,TRUE,0,1,1.17604772274253,2.50950170425315,NA
203,1,TRUE,TRUE,0,1,1.48692364666131,1.1675656657123,NA
204,1,TRUE,TRUE,0,1,1.23555848449421,1.36824569197134,NA
205,1,TRUE,TRUE,0,1,1.16317816334601,1.04196007373315,NA
206,1,TRUE,TRUE,0,1,1.10221367091018,1.48112389918711,NA
207,1,TRUE,TRUE,0,1,1.14290309253232,2.90754338148561,NA
208,1,TRUE,TRUE,0,1,1.34707862727945,3.97278080036645,NA
